eom,ic_spearman,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
2006-02-28,-0.05450231156692467,0.029277841432840238,0.04058066888343195,-0.011302827450591715,-0.012379750527514792,0.5384615384615385,338,338,3383
2006-03-31,0.004396007207228969,0.0003354743330443787,0.012467532055325447,-0.012132057722281068,-0.013206022219322489,0.5369822485207101,338,338,3389
2006-04-30,0.12792475948657933,-0.028079848058112096,-0.06970145117345132,0.041621603115339224,0.04039446447227138,0.6135693215339233,339,339,3396
2006-05-31,0.10268203876362192,0.0048628750090887575,-0.021624259869822485,0.02648713487891124,0.025318495825656803,0.5843195266272189,338,338,3387
2006-06-30,0.08043408605398232,-0.014896033477380952,-0.05181454668333334,0.03691851320595239,0.035772679872619055,0.5729166666666667,336,336,3366
2006-07-31,-0.008173299796417113,0.016632140414714714,0.00989953181261261,0.006732608602102104,0.005501377370870872,0.6156156156156156,333,333,3334
2006-08-31,0.07824038409571829,0.020924636294879517,-0.001972212618373494,0.022896848913253012,0.021719138069879518,0.588855421686747,332,332,3326
2006-09-30,-0.045459929237576184,0.0338925727760479,0.05495472999191616,-0.02106215721586826,-0.022178923682934126,0.5583832335329342,334,334,3346
2006-10-31,-0.07489020120026345,0.016586845419402984,0.03751065410537314,-0.020923808685970154,-0.022108883312835826,0.5925373134328358,335,335,3357
2006-11-30,0.10990235738488009,0.019568766213392857,-0.0008383584523809532,0.02040712466577381,0.019258315141964286,0.5744047619047619,336,336,3364
2006-12-31,0.07033183246061557,0.02474212871970149,0.005597827584776119,0.019144301134925372,0.018015942925970148,0.564179104477612,335,335,3359
2007-01-31,-0.014348986432649579,-0.012474734248656714,-0.007324327052835818,-0.005150407195820897,-0.006439959434626867,0.6447761194029851,335,335,3350
2007-02-28,-0.023792013074901745,-0.005277886588023953,0.011305197174251495,-0.01658308376227545,-0.017553143642514972,0.48502994011976047,334,334,3349
2007-03-31,-0.04354988207543172,0.004666986104504505,0.03482012339189189,-0.030153137287387385,-0.031123107257357355,0.484984984984985,333,333,3339
2007-04-30,-0.044948047131959,0.014873347582530118,0.011073063562048194,0.0038002840204819244,0.00273100691204819,0.5346385542168675,332,332,3329
2007-05-31,-0.07820502350124563,-0.017747332764864863,-0.004023208648048047,-0.013724124116816817,-0.014682082074774776,0.478978978978979,333,333,3332
2007-06-30,-0.097838283473531,-0.07401788116646527,-0.04359200151268883,-0.03042587965377644,-0.031437964245921456,0.5060422960725076,331,331,3318
2007-07-31,0.10929763826031141,0.013688165028875382,-0.03238549352492401,0.04607365855379939,0.044961196547720364,0.5562310030395137,329,329,3296
2007-08-31,-0.04409239166197801,-0.001708455467384616,0.023805603026153845,-0.02551405849353846,-0.026769443108923076,0.6276923076923078,325,325,3255
2007-09-30,-0.0596995760186529,0.0017244569666666682,0.025963949724382717,-0.024239492757716048,-0.02533208535030864,0.5462962962962963,324,324,3243
2007-10-31,0.15481477484050576,-0.05839960595356038,-0.11345155909938079,0.05505195314582041,0.05387548255758512,0.588235294117647,323,323,3233
2007-11-30,0.01021654429935767,-0.013928399853019748,-0.019962069477742945,0.006033669624723197,0.0049458953300523505,0.5438871473354232,319,319,3191
2007-12-31,0.17065039939752025,0.0034170720512578605,-0.07333996105408805,0.07675703310534591,0.07560294505503146,0.5770440251572326,318,318,3188
2008-01-31,0.19215978373871626,-0.012612702336825397,-0.06961876686349207,0.05700606452666667,0.0556346359552381,0.6857142857142857,315,315,3155
2008-02-29,0.09126651848356108,-0.001750561205111821,-0.04344395426230031,0.04169339305718849,0.04059754641182108,0.5479233226837061,313,313,3133
2008-03-31,-0.01928021194127875,0.010093047696763753,0.0366043816394822,-0.02651133394271845,-0.027469262745307445,0.47896440129449835,309,309,3093
2008-04-30,-0.030586369326493584,0.007222693185064935,0.021638744809415585,-0.01441605162435065,-0.015393324351623378,0.48863636363636365,308,308,3087
2008-05-31,-0.02431405109461287,-0.1288735807201299,-0.10023089343376623,-0.028642687286363655,-0.029574505468181838,0.46590909090909094,308,308,3089
2008-06-30,0.1436382759226788,0.06960074507913906,0.01097840179039735,0.05862234328874171,0.057834263818543036,0.39403973509933776,302,302,3021
2008-07-31,0.02262732929355119,0.0437845152820598,0.031466787492358796,0.012317727789701007,0.01110842546411961,0.6046511627906976,301,301,3016
2008-08-31,0.07640419398086089,-0.056100005126000003,-0.078302820966,0.022202815839999994,0.021182815839999994,0.51,300,300,3005
2008-09-30,0.08091678889178054,-0.16157956993549488,-0.22453280188483035,0.06295323194933547,0.06195323194933547,0.5,293,293,2931
2008-10-31,0.07795128089202315,-0.09789121067583643,-0.14702305017732342,0.04913183950148699,0.047949683367657994,0.5910780669144982,269,269,2690
