eom,ic_pearson,ic_spearman,best_alpha,n_nonzero,n_train,n_features,scoring_year,train_end_year,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
1996-10-31,0.025532789243399644,0.013705897083457454,0.0009893170842376127,3,540674,65,1996,1995,0.054802593967022216,0.02272865243788722,0.032073941529134994,0.031058180281829644,0.5078806236526754,320,320,3209
1996-11-30,0.030166144947903668,0.012427240022428461,0.0009893170842376127,3,540674,65,1996,1995,-0.010634029502289831,-0.0031804410824173217,-0.007453588419872509,-0.008037898380534043,0.29215498033076764,322,322,3229
1996-12-31,-0.0335841961301652,-0.01995567416418712,0.0009893170842376127,3,540674,65,1996,1995,0.037082999526578606,0.03446658487338461,0.0026164146531939964,0.0018967864861071761,0.3598140835434101,322,322,3225
1997-01-31,-0.04253238509294569,-0.03022209781917959,0.0002285745265041186,15,593540,65,1997,1996,-0.01653775484793464,-0.004086093117507035,-0.012451661730427607,-0.013924730035950343,0.7365341527613685,326,326,3266
1997-02-28,0.06511626734299615,0.0661821513957988,0.0002285745265041186,15,593540,65,1997,1996,-0.0336579630230268,-0.08153512104650497,0.04787715802347817,0.04710382064222918,0.38666869062449516,326,326,3261
1997-03-31,0.09672833777943432,0.09916521828459987,0.0002285745265041186,15,593540,65,1997,1996,0.02044316740741421,-0.02600395032138775,0.04644711772880196,0.04558151997182475,0.43279887848860765,322,322,3228
1997-04-30,0.002610007448719192,-0.01955861035451044,0.0002285745265041186,15,593540,65,1997,1996,0.07188878850415664,0.1105877105725524,-0.03869892206839576,-0.040198051319444754,0.7495646255244969,319,319,3199
1997-05-31,0.005745000021122006,0.04173369615537689,0.0002285745265041186,15,593540,65,1997,1996,0.043047548763944815,0.05181414197115605,-0.008766593207211237,-0.00957936699772674,0.4063868952577513,324,324,3245
1997-06-30,0.06698340471170504,0.08112337331782772,0.0002285745265041186,15,593540,65,1997,1996,0.08530114348818332,0.041491388367381886,0.04380975512080144,0.04298065023834157,0.4145524412299345,325,325,3251
1997-07-31,-0.008327112385321475,-0.02291456119636591,0.0002285745265041186,15,593540,65,1997,1996,-0.02026099132558442,0.003214612304582514,-0.023475603630166934,-0.02476371901737433,0.6440576936036992,326,326,3269
1997-08-31,-0.06925146157848537,-0.05053449709302791,0.0002285745265041186,15,593540,65,1997,1996,0.04139126307584831,0.08604188620053964,-0.04465062312469133,-0.045331272475206595,0.3403246752576353,329,329,3293
1997-09-30,0.0064150984731069565,0.0015313220730070758,0.0002285745265041186,15,593540,65,1997,1996,-0.03996132479055165,-0.034856566840082426,-0.005104757950469226,-0.00604421027283529,0.4697261611830323,334,334,3344
1997-10-31,0.0787990507935378,0.0693260850628454,0.0002285745265041186,15,593540,65,1997,1996,0.020328308389645767,-0.016196134444396507,0.03652444283404227,0.03522198535909481,0.6512287374737303,333,333,3339
1997-11-30,-0.001309911644553117,0.00026334844139516163,0.0002285745265041186,15,593540,65,1997,1996,-0.0016692757168937302,0.024445450386954844,-0.026114726103848573,-0.027066684651525383,0.47597927383840466,332,332,3325
