year,feature,gain,weight,cover,gain_norm
1990,f208,3.1010525226593018,25.0,83163.45182291667,0.005785318417187864
1990,f32,3.03655473391215,17.333333333333332,61993.200520833336,0.005664991450011312
1990,f104,3.022866725921631,2.3333333333333335,27290.6953125,0.00563945512512048
1990,f124,3.0123976866404214,8.333333333333334,34356.976888020836,0.0056199241028880974
1990,f26,2.9204025268554688,16.333333333333332,21467.47265625,0.005448298086138268
1990,f189,2.911801258722941,32.666666666666664,77318.90364583333,0.0054322515746475135
1990,f222,2.888735055923462,12.0,40700.1953125,0.00538921930515342
1990,f108,2.879173676172892,2.3333333333333335,26350.166666666668,0.005371381611028438
1990,f119,2.871730009714762,2.0,18590.368489583332,0.005357494719291857
1990,f150,2.80004612604777,1.6666666666666667,40423.140299479164,0.005223761385411215
1990,f220,2.7862122853597007,4.0,35419.214192708336,0.005197952995282918
1990,f196,2.7402615547180176,2.3333333333333335,13524.329549153646,0.005112227388792191
1990,f23,2.729100227355957,58.0,64599.313802083336,0.0050914048350701345
1990,f31,2.66105326016744,28.333333333333332,47314.828125,0.00496445652650943
1990,f231,2.655224641164144,8.666666666666666,29172.700520833332,0.004953582664612494
1990,f239,2.6548308531443277,7.333333333333333,94371.09114583333,0.004952848014339123
1990,f232,2.653855244318644,12.666666666666666,21827.6728515625,0.004951027920140151
1990,f8,2.6315617163976035,3.0,29966.245442708332,0.004909437151611315
1990,f61,2.5819223721822104,12.0,80394.30598958333,0.004816830073785954
1990,f34,2.5274271965026855,31.0,80980.15364583333,0.004715163964875202
1990,f216,2.511236548423767,6.0,23514.024088541668,0.004684958718807054
1990,f135,2.506174405415853,2.6666666666666665,49430.436848958336,0.004675514793249479
1990,f235,2.4223833084106445,8.0,42768.729166666664,0.004519194262346344
1990,f194,2.3757975896199546,3.0,14678.331705729166,0.004432284023023279
1990,f132,2.3700926303863525,6.666666666666667,25285.985026041668,0.00442164086058656
1990,f35,2.3683117230733237,20.333333333333332,28690.268229166668,0.004418318402871933
1990,f139,2.3618874549865723,3.6666666666666665,13711.06982421875,0.00440633329903778
1990,f192,2.3599785963694253,13.666666666666666,57439.303385416664,0.004402772135583471
1990,f106,2.3433640797932944,12.666666666666666,92354.67447916667,0.004371776121153461
1990,f48,2.3250890970230103,9.0,60774.08984375,0.00433768234375944
1990,f1,2.283316969871521,4.333333333333333,23245.495768229168,0.0042597523329747835
1990,f175,2.278369426727295,3.6666666666666665,40631.53515625,0.004250522204731881
1990,f191,2.2754812637964883,15.0,42578.28125,0.0042451340527823915
1990,f179,2.270283818244934,6.0,47230.194010416664,0.004235437707024935
1990,f182,2.2572858333587646,17.0,61047.423177083336,0.004211188688087391
1990,f105,2.2205970287323,3.3333333333333335,28304.277018229168,0.004142742115332127
1990,f118,2.1995774308840432,2.0,7428.287109375,0.004103527988623587
1990,f176,2.1824134985605874,6.333333333333333,34904.46875,0.004071506985091179
1990,f254,2.1799123287200928,4.666666666666667,14663.839518229166,0.004066840806805905
1990,f195,2.1782176891962686,4.666666666666667,23017.328776041668,0.00406367929013502
1990,f251,2.1773902972539267,3.6666666666666665,23697.261393229168,0.004062135709106551
1990,f122,2.1701396306355796,7.0,71161.32421875,0.004048608877549361
1990,f121,2.158254543940226,1.3333333333333333,24473.639322916668,0.004026436079621534
1990,f166,2.1553821563720703,11.0,52450.002604166664,0.00402107735816231
1990,f168,2.130384604136149,1.6666666666666667,13831.014200846354,0.003974441966378918
1990,f183,2.1239111026128135,14.666666666666666,42774.845052083336,0.00396236501272754
1990,f190,2.123287240664164,14.0,50208.899739583336,0.003961201136916044
1990,f174,2.104058583577474,11.0,57746.563151041664,0.003925328186306996
1990,f19,2.0983312129974365,19.333333333333332,70372.3359375,0.003914643213299723
1990,f171,2.0954912106196084,11.666666666666666,21026.308919270832,0.003909344909597593
1990,f143,2.088035265604655,3.3333333333333335,16925.9521484375,0.003895435111005868
1990,f201,2.0638718207677207,8.333333333333334,28157.3974609375,0.0038503558285956693
1990,f28,2.0563671986262,12.666666666666666,21908.516927083332,0.00383635521803776
1990,f59,2.050451676050822,3.0,26706.736979166668,0.003825319228981606
1990,f224,2.0478974978129068,4.0,12535.240234375,0.003820554158318463
1990,f24,2.041975418726603,20.333333333333332,26321.952799479168,0.0038095059374464555
1990,f177,2.039770523707072,8.333333333333334,15626.934244791666,0.0038053924889733153
1990,f117,2.0159555673599243,4.0,26870.753743489582,0.0037609633461087736
1990,f42,1.9965882301330566,4.666666666666667,24560.69140625,0.0037248316740613745
1990,f206,1.9714422225952148,7.0,41671.791015625,0.0036779193243141775
1990,f172,1.9623136123021443,3.0,31600.87680053711,0.0036608890041677313
1990,f160,1.9535154104232788,7.666666666666667,18203.364583333332,0.003644475093408075
1990,f226,1.9525715112686157,8.333333333333334,64217.1484375,0.003642714156718503
1990,f230,1.9491779406865437,8.333333333333334,27642.794270833332,0.0036363831170972676
1990,f33,1.9478822549184163,31.333333333333332,22556.353515625,0.003633965887888003
1990,f227,1.9467235803604126,2.6666666666666665,30263.618489583332,0.003631804266563964
1990,f207,1.9392606814702351,5.333333333333333,40573.880208333336,0.0036178814948342125
1990,f228,1.9318464597066243,3.3333333333333335,85629.74869791667,0.003604049535070645
1990,f142,1.928980867067973,2.3333333333333335,11020.792643229166,0.003598703490220579
1990,f112,1.9237155119578044,8.0,16281.768880208334,0.0035888804525037684
1990,f225,1.9154972235361736,8.0,20283.796875,0.0035735484273232824
1990,f110,1.9037388165791829,3.3333333333333335,47621.820963541664,0.003551611962904185
1990,f89,1.8924586772918701,4.333333333333333,7751.165247599284,0.0035305677538524233
1990,f15,1.8896945317586262,5.0,6393.468098958333,0.003525410968553105
1990,f30,1.8889872233072917,10.0,32315.815104166668,0.0035240914150852943
1990,f188,1.8858648538589478,18.0,78822.54166666667,0.003518266327847082
1990,f50,1.872730056444804,8.666666666666666,87751.70572916667,0.0034937620716853986
1990,f71,1.8679378430048625,3.0,35300.707682291664,0.0034848217262798934
