feature,gain,gain_norm,weight,cover
f185,1.9454202229141169,0.002753585405752692,6.6239316239316235,43699.057502485746
f34,1.945062239964803,0.002785453517535895,13.758333333333335,62417.09743550619
f124,1.9447991328361707,0.002799045800057305,7.504273504273505,78355.3505567241
f187,1.942793034670646,0.002905097708254229,5.333333333333333,47546.40114837781
f184,1.941668149149209,0.0028463000788652,6.947368421052632,63260.694062216244
f6,1.937232385079066,0.00269950823511146,7.191666666666667,50181.15822347005
f149,1.9364684117146027,0.002648372248158123,5.256410256410256,66573.1617533366
f206,1.9342862089474995,0.0027209353062514425,5.641666666666667,77599.32820587158
f36,1.9324113061030705,0.0027426786185740476,13.908333333333335,88395.89835758209
f202,1.9248311163013818,0.002756923121564762,6.521367521367521,47718.358810229176
f58,1.921987505040617,0.002617657254665805,5.435897435897436,79199.2773146018
f111,1.917514177469107,0.0027445154266243794,6.0085470085470085,96963.8703696748
f114,1.9150382562687522,0.0027952988880940105,4.859649122807017,53145.08180812367
f117,1.9143788294914441,0.0027833558722001025,5.136752136752137,57139.689812032586
f173,1.9101418694879255,0.0027953601823414898,6.418803418803419,40392.41783099704
f339,1.9035058498382569,0.00231143948312106,8.866666666666667,119622.84361979165
f196,1.9006223627644727,0.0026953564453418536,6.521367521367521,56092.0537983169
f33,1.9001948058605194,0.0027106058259535925,28.73333333333333,140286.43558756512
f336,1.8947658311753044,0.0022259335750352,10.904761904761903,94822.74069940475
f204,1.891442209227472,0.002642185148264523,5.213675213675214,41642.85946524857
f340,1.8872397541999817,0.002286976639439,6.166666666666666,62175.6796468099
f122,1.8869105736414593,0.0027540534870526172,5.241666666666667,52811.44850107828
f142,1.886495950894478,0.002636995394831285,5.641025641025641,61342.62398727939
f144,1.8829521385201236,0.0026408504640069792,4.368421052631579,45435.723659046904
f116,1.8792846783613548,0.0027396638165130974,5.119658119658119,48052.54817395333
f109,1.876720746867677,0.002667889998961441,5.461538461538462,80473.76164441231
f207,1.8725096865704185,0.0027415736401142474,6.754385964912281,93203.20629989891
f139,1.8711195022631915,0.0025959104942768155,5.487179487179487,60120.41792714697
f80,1.8683687524917798,0.002545241656903228,4.547008547008547,61414.02760184524
f169,1.8599024425473132,0.002618404411923326,5.640350877192983,62833.352251822485
f134,1.8591100613276166,0.0026437434134724625,5.1,63210.014027913414
f76,1.8563765330357596,0.0026072600417712186,6.846846846846847,74153.20788776982
f166,1.855081132054329,0.0025440959842675153,5.708333333333334,62986.76128460566
f77,1.8506396616760052,0.0025445071015209237,5.947368421052632,107761.54235705994
f91,1.8431774622354753,0.002562546399649059,8.076923076923077,59924.04576280382
f54,1.8427480593323708,0.0025094151281605777,6.925,103039.12034079233
f104,1.8379472382048259,0.002654575660397372,4.846153846153846,61981.9593564547
f115,1.83309353441,0.0026789272389142827,4.958333333333334,54533.71480382284
f177,1.8287105066282254,0.0027523937226797894,6.072072072072072,34806.29721481736
f176,1.8284649333438359,0.0027272378601582432,6.594594594594595,38097.27541261965
f147,1.8279651591652317,0.0027189597611574786,5.745614035087719,72048.0374804045
f120,1.8254619928506703,0.0026084239730693255,5.256410256410256,64250.1740513989
f179,1.8247707185582216,0.002713018902238246,6.598290598290598,46062.959114792
f200,1.8240455556334112,0.002632233244849553,5.7894736842105265,48862.14203724108
f199,1.8192364711452411,0.0026585296441650696,5.0,63734.06088426378
f180,1.8165912467080194,0.002625973028443957,7.909909909909911,59020.14810294074
f74,1.8150398711363476,0.00250747402034295,6.183333333333334,83218.84320017496
f75,1.814959732691447,0.0024569879772377177,8.058333333333334,83171.315918986
