feature,category,gain_mean,gain_std,gain_norm_mean,weight_mean,cover_mean,pct_years_active,mean_rank,std_rank
enterprise_value,Other,2.2159180959065754,0.637978205808938,0.0030073333746942826,13.108333333333334,133348.11814460755,1.0,112.875,27.507749490848607
prc_local,Momentum,2.2155929813782373,0.8693340100071745,0.0032286678810786577,4.225,76743.42557576498,1.0,136.275,85.37728860918699
cogs_gr1,Other,2.214837581683428,0.663101757541027,0.003028435015893382,11.76923076923077,95420.69972789797,0.975,116.82051282051282,52.964671340964735
seas_1_1na,Other,2.2110136511089564,0.5274445868899136,0.0030211160519733947,23.35135135135135,81291.83352688626,0.925,115.56756756756756,42.66506542603455
eqnpo_3m,Other,2.2092799335718154,0.473230243707231,0.0031260031260613103,19.075,211839.47903645836,1.0,107.75,44.23350047308674
fcf_be,Other,2.2014449182738605,1.031791676420675,0.0031551929672335205,6.196581196581197,53273.79763220111,0.975,135.48717948717947,83.68986349828558
iskew_capm_21d,Other,2.1713723903414848,0.3029566045502337,0.002676365469611228,32.195402298850574,260609.68204471984,0.725,126.20689655172414,22.620122695045584
beta_60m,Risk,2.170535480976105,0.31173494953846936,0.00251411109556624,16.466666666666665,130629.1319173177,0.5,137.7,24.512295518350523
be_gr1,Value,2.1480258762836457,0.6744844570468768,0.00296656526845052,6.525,71863.925978597,1.0,134.325,54.121604530197345
netis_mev,Other,2.1424182961384455,1.4943614365086222,0.00275626106103458,3.4666666666666663,45707.322205638884,1.0,168.6,87.0254310016655
betadown_252d,Risk,2.1349445197774077,0.7455018850301558,0.0025561498882357278,10.195402298850576,67905.52040117636,0.725,186.72413793103448,61.53912608583963
ca_cl,Other,2.1330934783332367,0.4675962453265919,0.0030655399744180948,8.752136752136751,73543.07239082533,0.975,109.25641025641026,56.57259795524869
ni_sale,Other,2.126202107494713,0.7577028000848045,0.002950399780631464,4.512820512820513,65070.27504293327,0.975,131.3846153846154,62.948021742510285
ebitda_ppen,Quality,2.099281578210362,0.7840354757878877,0.0029255118226582237,5.37719298245614,43110.575393944455,0.95,144.73684210526315,73.50994939481627
rec_days,Other,2.0834326112372246,0.38306007390479313,0.0029928407952106973,11.0,90891.0306577764,0.975,130.05128205128204,53.17347415371924
opex_gr3,Other,2.0823468764623008,0.2821179870098263,0.0023913097255115453,8.05,102705.82728474934,0.5,150.55,46.02799491385078
