eom,ic_pearson,ic_spearman,best_iteration,n_train,n_features,scoring_year,train_end_year,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
2001-06-30,0.3003648426974724,0.289100522286387,27,807490,43,2001,2000,0.024182111784161058,-0.10694055614271397,0.13112266792687502,0.1297845278725621,0.6690700271564661,266,266,2664
2001-07-31,0.1919302518074344,0.16466147167698109,27,807490,43,2001,2000,-0.010457598669424048,-0.11337874804302694,0.1029211493736029,0.10162092406247362,0.6501126555646354,264,264,2648
2001-08-31,0.2520188490795172,0.257534588626361,27,807490,43,2001,2000,-0.05104750358919022,-0.20513594246060735,0.15408843887141713,0.1529986527293241,0.5448930710465061,261,261,2610
2001-09-30,-0.10730387360123982,-0.09624261333675378,27,807490,43,2001,2000,0.011015599599662973,0.09416583592791805,-0.08315023632825508,-0.084397591152299,0.6236774120219628,250,250,2505
2001-10-31,-0.09117690668593116,-0.08516151460727119,27,807490,43,2001,2000,0.05722711710932778,0.1346150738426869,-0.07738795673335912,-0.07873718839057822,0.6746158286095552,252,252,2529
2001-11-30,-0.022837925874426967,-0.01731779675931316,27,807490,43,2001,2000,0.05790475563353982,0.00713996299502919,0.05076479263851063,0.04954807247034389,0.6083600840833694,256,256,2561
2001-12-31,0.24461451735940817,0.24117633152053072,27,807490,43,2001,2000,0.03275603166803069,-0.06533689816777555,0.09809292983580624,0.09660791695755622,0.7425064391250137,259,259,2593
2002-01-31,0.25921584910340634,0.21407280212910532,50,856545,44,2002,2001,0.02841193465977858,-0.11487528916454962,0.14328722382432818,0.14136710851795167,0.9600576531882531,259,259,2590
2002-02-28,0.0017036876070661833,-0.004695869456415923,50,856545,44,2002,2001,0.07928505357142954,0.06725301077295762,0.01203204279847192,0.010838302610665228,0.5968700939033464,254,254,2545
2002-03-31,0.24081564187275487,0.261088358563587,50,856545,44,2002,2001,0.05289843961459903,-0.0864026803022952,0.13930111991689423,0.13812323116136085,0.5889443777666846,259,259,2593
2002-04-30,0.20101542842369313,0.1995098327408993,50,856545,44,2002,2001,-0.007279209298640632,-0.052112407824932074,0.04483319852629144,0.04305936799368949,0.8869152663009726,256,256,2567
2002-05-31,0.23507527894224797,0.23971582310901984,50,856545,44,2002,2001,-0.013705438012171386,-0.13446927983966514,0.12076384182749375,0.11953219115244965,0.6158253375220546,255,255,2556
2002-06-30,0.17691721199455981,0.1983688602875289,50,856545,44,2002,2001,-0.10269044944842681,-0.14647544605552149,0.04378499660709467,0.04230472458963345,0.7401360087306119,251,251,2512
2002-07-31,0.07690697366456901,0.08468741886747586,50,856545,44,2002,2001,0.023843944961685907,-0.02337412287904011,0.04721806784072602,0.04544486785489391,0.8865999929160544,240,240,2409
2002-08-31,0.11608038125462188,0.12846044854940208,50,856545,44,2002,2001,-0.07688520590836978,-0.09776068578100022,0.020875479872630442,0.019526673990568292,0.6744029410310746,239,239,2398
2002-09-30,0.0020126561729273016,-0.002070718980499594,50,856545,44,2002,2001,0.0473789955543387,0.06829908498995164,-0.020920089435612944,-0.022456235005113918,0.768072784750486,233,233,2336
2002-10-31,-0.003251907215176043,-0.017221965427386743,50,856545,44,2002,2001,0.12599172404945502,0.08871830189321181,0.03727342215624321,0.03552064393438334,0.8763891109299378,235,235,2357
2002-11-30,0.1943243085688266,0.18074566500328948,50,856545,44,2002,2001,-0.014288980428684553,-0.11010545845977115,0.0958164780310866,0.09438853158145609,0.7139732248152547,241,241,2413
2002-12-31,0.09409308557212287,0.10925472398322914,50,856545,44,2002,2001,-0.019294078564012017,-0.01626232482148461,-0.0030317537425274058,-0.00415901908475695,0.5636326711147721,239,239,2397
2003-01-31,0.004323015056099684,0.013227563012495233,39,903912,50,2003,2002,-0.03643824953832929,-0.011467148943103045,-0.024971100595226246,-0.026881390410296694,0.9551449075352245,238,238,2387
2003-02-28,0.03941059763246167,0.008783054962420045,39,903912,50,2003,2002,0.01765216362999754,0.007298143478473594,0.010354020151523945,0.009347707955852536,0.503156097835704,236,236,2364
2003-03-31,0.021321570117100123,0.01218286809396662,39,903912,50,2003,2002,0.08652272822509556,0.06639446167708331,0.020128266548012252,0.019359803134662564,0.3842317066748443,235,235,2356
2003-04-30,-0.0003996265088044276,-0.0411353431006588,39,903912,50,2003,2002,0.10839139457566505,0.0959632219303179,0.012428172645347152,0.01094836421271534,0.7399042163159055,240,240,2403
2003-05-31,0.08274241662849223,0.06929890051546057,39,903912,50,2003,2002,0.03282834759411346,-0.0007669921576925164,0.03359533975180598,0.03254671056692728,0.5243145924393477,247,247,2479
2003-06-30,0.07273364555648075,0.06348782169663858,39,903912,50,2003,2002,0.06132644028748862,0.039853685884058826,0.021472754403429793,0.020386199775946027,0.5432773137418834,251,251,2511
2003-07-31,0.06667707752548219,0.044437454126141744,39,903912,50,2003,2002,0.057761381212215426,0.03658149383706915,0.021179887375146277,0.01940829506136234,0.8857961568919681,255,255,2555
2003-08-31,0.1002217742586796,0.10949209525233779,39,903912,50,2003,2002,0.008497372732223821,-0.03804370289826027,0.04654107563048409,0.045548585990442245,0.49624482002092224,256,256,2569
2003-09-30,0.0881004307887447,0.10284423839373644,39,903912,50,2003,2002,0.08986400388578125,0.05535027899151193,0.03451372489426932,0.03338910179986434,0.5623115472024922,258,258,2588
2003-10-31,0.0350398906434465,0.026101608677163945,39,903912,50,2003,2002,0.04224987883098502,0.03804935772367957,0.004200521107305455,0.002504188283317846,0.8481664119938046,263,263,2631
2003-11-30,0.026952443543415132,-0.005970191581906562,39,903912,50,2003,2002,0.03920413662444569,0.03786279158945406,0.0013413450349916284,0.0003483369279641908,0.49650405351371873,266,266,2662
2003-12-31,0.02440942205839494,0.03681708544550733,39,903912,50,2003,2002,0.02696256877026172,0.013313006660291497,0.013649562109970224,0.012795140741685552,0.42721068414233654,267,267,2674
2004-01-31,-0.07712944620525473,-0.06858579248309445,27,950329,44,2004,2003,-0.007792281660418213,0.027366274009997638,-0.03515855567041585,-0.03790556160041685,1.373502965000503,272,272,2720
2004-02-29,-0.05015306460559649,-0.06965202053018395,27,950329,44,2004,2003,-0.008490689531909394,0.01640617672051442,-0.024896866252423815,-0.025839012296106273,0.47107302184122846,271,271,2717
2004-03-31,-0.030565799315529944,0.009001211146692738,27,950329,44,2004,2003,-0.06888795191580369,-0.07094465660403569,0.0020567046882320056,0.0011141843665280968,0.47126016085195443,271,271,2717
2004-04-30,0.04325572327687771,0.01561439516339176,27,950329,44,2004,2003,0.03220349468758288,0.013607901962977814,0.018595592724605065,0.016779355618508823,0.9081185530481215,267,267,2674
2004-05-31,0.045972633241508354,0.03398846615027735,27,950329,44,2004,2003,0.03526582361473764,0.026179776093021925,0.009086047521715712,0.007887958605587199,0.5990444580642565,266,266,2661
