scoring_year,factor,sharpe,selected
1986,ebit_gr1a,0.2600254072343404,False
1986,ope_gr1a,0.21982731689721904,False
1986,ni_gr1a,0.38133187525379864,False
1986,nix_gr1a,0.2676136017690882,False
1986,dp_gr1a,-0.6401681108230458,False
1986,fincf_gr1a,-0.5627788831876483,False
1986,ocf_gr1a,1.5380889391849777,True
1986,fcf_gr1a,1.1085605601252992,True
1986,nwc_gr1a,-0.17571455019063137,False
1986,eqnetis_gr1a,-0.5293096892337915,False
1986,dltnetis_gr1a,-0.16008895058049497,False
1986,dbnetis_gr1a,0.11885522131871515,False
1986,netis_gr1a,-0.6093378438770914,False
1986,eqnpo_gr1a,0.39601168431097017,False
1986,tax_gr1a,0.40815007021273647,False
1986,eqbb_gr1a,-1.4939314215158983,False
1986,eqis_gr1a,-0.8275820179730491,False
1986,div_gr1a,-0.06062098801340696,False
1986,eqpo_gr1a,-1.0718893937295186,False
1986,capx_gr1a,-1.4830718722601501,False
1986,be_gr1a,-0.29913839772383666,False
1986,capx_at,-1.4222320783880713,False
1986,spi_at,0.49986030909462126,False
1986,xido_at,0.9334961476146584,False
1986,nri_at,1.0857444486789727,True
1986,gp_sale,-1.2540178822584214,False
1986,ebitda_sale,-0.16384464250462655,False
1986,ebit_sale,0.27802387124412603,False
1986,pi_sale,0.3185763175195642,False
1986,ni_sale,0.18378082984078414,False
1986,nix_sale,0.1713236088268798,False
1986,ocf_sale,0.9059627872728573,False
1986,fcf_sale,1.9204243065045385,True
1986,gp_at,0.8231021764775169,False
1986,ebitda_at,0.5735874240935288,False
1986,ebit_at,0.6808827267865529,False
1986,fi_at,0.5818751729772377,False
1986,cop_at,1.8745850777277782,True
1986,ni_at,0.7959804307879254,False
1986,ope_be,0.9705293308316242,False
1986,ni_be,0.9104661399184646,False
1986,nix_be,0.9594470017094516,False
1986,ocf_be,2.4890160801658445,True
1986,fcf_be,2.4139814610030776,True
1986,gp_bev,1.5927921636266122,True
1986,ebitda_bev,0.9638048841254291,False
1986,ebit_bev,1.0179884370097847,True
1986,fi_bev,0.7886019688478119,False
1986,cop_bev,2.088747783575945,True
1986,gp_ppen,0.8504232658196376,False
1986,ebitda_ppen,1.1145324627088273,True
1986,fcf_ppen,1.8614407665017347,True
1986,fincf_at,-1.3924288781107526,False
1986,netis_at,-1.560304291168402,False
1986,eqnetis_at,-1.521633366660109,False
1986,eqis_at,-1.491507785751936,False
1986,dbnetis_at,-1.228105389784392,False
1986,dltnetis_at,-1.3897575125995558,False
1986,dstnetis_at,-0.6509534163122923,False
