eom,ic_pearson,ic_spearman,alpha,n_nonzero,n_active,n_total_cols,n_train,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
2003-09-30,0.027851647109250716,0.022182233337121795,0.00031597047093009163,11,23,320,249845,0.0991030828513021,0.07454672365,0.0245563592013021,0.0244469842013021,0.0546875,384,384,3845
2003-10-31,0.023558483137577482,0.020315227712610986,0.0013168940770889456,3,23,320,249171,0.07937509767832897,0.04893016504621409,0.030444932632114875,0.029619867357963438,0.41253263707571797,383,383,3838
2003-11-30,0.008992817670594441,-0.017498323889363912,0.001328689955661227,4,22,320,248549,0.04254948267057292,0.03335217979296875,0.009197302877604174,0.008853552877604174,0.171875,384,384,3844
2003-12-31,-0.0002436962426953543,0.13221973672471535,0.0010358112256402957,4,22,320,247922,0.10738691654114584,0.03710144009479167,0.07028547644635416,0.07007453894635417,0.10546875,384,384,3843
2004-01-31,0.013133302664808987,-0.05416564554900696,0.0010859633554671862,6,23,320,247301,0.010918409574479168,0.0220247409453125,-0.011106331370833332,-0.011577685537499998,0.23567708333333331,384,384,3844
2004-02-29,-0.0030261686161918992,-0.03947447228931093,0.0010265754862824816,6,24,320,246670,0.011860940334635417,0.006736339581510417,0.005124600753125,0.004955329919791666,0.08463541666666669,384,384,3843
2004-03-31,-0.004348043973200029,-0.004705116171170764,0.0015607800299798948,4,25,320,246047,-0.04165100924412533,-0.04671418521697128,0.005063175972845953,0.004762914876240209,0.1501305483028721,383,383,3835
2004-04-30,-0.039359016702311775,-0.056607311913400085,0.0011956136888480787,7,28,320,245445,-0.010932592785078537,0.0018279191013089008,-0.012760511886387438,-0.01339401973979058,0.3167539267015707,382,382,3825
2004-05-31,0.0020044537009867567,-0.007816064570876349,0.0010151396306086729,8,26,320,244836,0.020828265351968505,0.013130574314173228,0.007697691037795277,0.007366982376377954,0.1653543307086614,381,381,3817
2004-06-30,0.06055988161328379,0.04981780078998381,0.0005809418656961894,11,27,320,244208,-0.020944208227821524,-0.0631817964664042,0.04223758823858268,0.04201186645380578,0.11286089238845143,381,381,3815
2004-07-31,0.008849910153032114,0.0019511603088656407,0.0003798766917955818,15,30,320,243599,-0.009361055895000001,-0.005377041109736843,-0.0039840147852631584,-0.004410330574736843,0.21315789473684216,380,380,3808
2004-08-31,0.00867286939240571,-0.06573065421053892,0.00028104945291584395,16,28,320,242996,0.04276316029657894,0.054432199169736836,-0.011669038873157893,-0.011947986241578945,0.1394736842105263,380,380,3802
2004-09-30,0.002086712077441113,-0.021773535468289452,0.0002775665154715582,16,29,320,242414,0.022442465386052633,0.018924086021578947,0.003518379364473686,0.0033078530486842124,0.10526315789473684,380,380,3800
2004-10-31,0.04426604619831689,-0.02801423450309273,0.00027312093213630956,16,33,320,241845,0.07927805969815303,0.0693807358015831,0.009897323896569929,0.009425028382058056,0.23614775725593667,379,379,3795
2004-11-30,-0.015047985949862902,0.012358904244036005,0.00032029259023377604,14,30,320,241302,0.060119264728684216,0.044703997520263154,0.015415267208421062,0.015125793524210535,0.14473684210526316,380,380,3804
2004-12-31,0.08033818760240018,0.08750642791785745,0.00038159666077836204,15,38,320,240807,-0.013831616412860891,-0.04688046550341207,0.03304884909055118,0.03279950525853018,0.1246719160104987,381,381,3813
2005-01-31,-0.001227211395947516,-0.03155460866632466,0.0007622275310061851,13,44,320,240237,0.015592257409973753,0.016061314034383205,-0.0004690566244094519,-0.0009021274905511843,0.21653543307086615,381,381,3811
2005-02-28,0.13839894900950117,0.12952266230955492,0.0011481686658182208,10,61,320,239755,-0.008016635000524934,-0.06735685082257219,0.05934021582204725,0.05851606884041995,0.4120734908136483,381,381,3819
2005-03-31,0.007070149727169215,0.05206915771350442,0.001085066307976885,10,57,320,239192,-0.04216193865223098,-0.07188293852230972,0.029720999870078736,0.029463782022309707,0.12860892388451445,381,381,3812
2005-04-30,-0.016196027151248522,-0.07192536774593647,0.0006693268479780655,13,52,320,238627,0.031182764408707122,0.047770990310554096,-0.016588225901846974,-0.017421998988918212,0.41688654353562005,379,379,3799
2005-05-31,0.028963717449413583,0.03708088389395081,0.0011296882715677245,9,48,320,238056,0.05390750855751979,0.03800936905778364,0.015898139499736147,0.015235870370448549,0.3311345646437994,379,379,3793
2005-06-30,-0.03098051327349028,-0.0625032300809063,0.00048173242038293925,22,56,320,237543,0.053299275081530345,0.06341646224907652,-0.010117187167546171,-0.010858611969656989,0.370712401055409,379,379,3796
2005-07-31,0.019345361698187447,-0.031844024914873266,0.00034431244554076394,21,52,320,237000,-0.019484745886279686,-0.005455506009234828,-0.01402923987704486,-0.01461499185593668,0.29287598944591026,379,379,3795
2005-08-31,0.0101019642575548,-0.03901391423440596,0.00027356069834991056,25,55,320,236473,0.0024489348303430073,0.021404720978364114,-0.018955786148021108,-0.019370034169129288,0.2071240105540897,379,379,3795
2005-09-30,0.035464188541796234,0.07673272070052162,0.0006792553032985979,13,51,320,235952,-0.02400734288201058,-0.038693210197412696,0.014685867315402116,0.014304914934449735,0.19047619047619052,378,378,3787
2005-10-31,0.003004139380692461,-0.03662402393179721,0.0005256018853452978,10,42,320,235449,0.025245837018253968,0.032846491702910055,-0.007600654684656087,-0.008180019764021166,0.2896825396825397,378,378,3784
2005-11-30,0.06104928168301219,0.035295495012381266,0.0002662108466918902,14,33,320,234960,0.019187717105820106,0.006515476310052911,0.012672240795767195,0.012338907462433862,0.16666666666666669,378,378,3783
